tahun,brand,model
2010,Honda,FREED E
2010,Toyota,KIJANG INNOVA G LUX
2011,Toyota,AVANZA G
2012,Daihatsu,SIRION M602RS
2012,Daihatsu,XENIA X STD
2012,Honda,BRIO E
2013,Daihatsu,XENIA R DLX
2013,Honda,FREED S
2013,Nissan,GRAND LIVINA SV
2013,Nissan,MARCH
2013,Suzuki,ERTIGA GL
2013,Toyota,KIJANG INNOVA G
2013,Toyota,KIJANG INNOVA V
2014,Daihatsu,AYLA X
2014,Daihatsu,TERIOS TX
2014,Daihatsu,XENIA R
2014,Daihatsu,XENIA R DLX
2014,Ford,ECOSPORT TITANIUM
2014,Honda,BRIO E
2014,Honda,BRIO SATYA E
2014,Honda,MOBILIO E
2014,Honda,MOBILIO E PRESTIGE
2014,Honda,MOBILIO RS
2014,Mazda,CX-5 HIGH
2014,Mitsubishi,OUTLANDER SPORT GLS
2014,Nissan,GRAND LIVINA HIGHWAY STAR AUTECH
2014,Nissan,GRAND LIVINA XV
2014,Nissan,JUKE
2014,Nissan,MARCH
2014,Nissan,X-TRAIL URBAN SELECTION
2014,Suzuki,ERTIGA GX
2014,Toyota,AGYA G
2014,Toyota,AVANZA G
2014,Toyota,FORTUNER G
2014,Toyota,FORTUNER G TRD
2014,Toyota,KIJANG INNOVA G
2014,Toyota,KIJANG INNOVA V
2014,Toyota,RUSH S
2015,Daihatsu,TERIOS ADVENTURE R
2015,Daihatsu,TERIOS TX
2015,Daihatsu,TERIOS X
2015,Honda,CIVIC FB2
2015,Honda,HR-V E
2015,Honda,MOBILIO E
2015,Honda,MOBILIO E PRESTIGE
2015,Honda,MOBILIO RS
2015,Mazda,2 GT SKYACTIV
2015,Mazda,2 R SKYACTIV
2015,Mazda,CX-5 GT
2015,Nissan,GRAND LIVINA HIGHWAY STAR
2015,Nissan,GRAND LIVINA SV
2015,Nissan,MARCH
2015,Nissan,X-TRAIL
2015,Suzuki,KARIMUN GL
2015,Toyota,AGYA G
2015,Toyota,AGYA TRD SPORTIVO
2015,Toyota,AVANZA G
2016,Daihatsu,AYLA X
2016,Daihatsu,SIGRA R DLX
2016,Datsun,GO+ PANCA T
2016,Honda,BR-V E
2016,Honda,BRIO E
2016,Honda,BRIO RS
2016,Honda,BRIO SATYA E
2016,Honda,BRIO SATYA S
2016,Honda,HR-V E
2016,Honda,MOBILIO E
2016,Honda,MOBILIO RS
2016,Mazda,2 GT
2016,Mazda,2 R SKYACTIV
2016,Mitsubishi,OUTLANDER SPORT PX
2016,Mitsubishi,PAJERO SPORT DAKAR 4X2
2016,Nissan,GRAND LIVINA X-GEAR
2016,Nissan,MARCH
2016,Nissan,MARCH L
2016,Nissan,SERENA HIGHWAY STAR
2016,Nissan,X-TRAIL
2016,Suzuki,ERTIGA DREZA GS
2016,Suzuki,ERTIGA GL
2016,Suzuki,SX4 S-CROSS
2016,Toyota,AGYA G
2016,Toyota,AVANZA G
2016,Toyota,AVANZA VELOZ
2016,Toyota,CALYA G
2016,Toyota,FORTUNER VRZ
2016,Toyota,KIJANG INNOVA G
2016,Toyota,KIJANG INNOVA Q
2016,Toyota,KIJANG INNOVA V
2016,Toyota,SIENTA V
2017,Daihatsu,AYLA R
2017,Daihatsu,AYLA R DLX
2017,Daihatsu,AYLA X
2017,Daihatsu,AYLA X ELEGANT
2017,Daihatsu,SIGRA R DLX
2017,Daihatsu,SIRION M602RS
2017,Daihatsu,XENIA R
2017,Daihatsu,XENIA R SPORTY
2017,Datsun,GO+ PANCA T
2017,Honda,BR-V E
2017,Honda,BRIO RS
2017,Honda,BRIO SATYA E
2017,Honda,CITY E
2017,Honda,CR-V
2017,Honda,CR-V TURBO
2017,Honda,HR-V E
2017,Honda,HR-V S
2017,Honda,JAZZ RS
